#{"t_start": 1746642392.0578508, "env_id": "None"}
r,l,t
6.962864,1000,33.406672
0.084078,1000,59.640993
0.670419,1000,85.742278
0.209881,1000,111.75497
0.831808,1000,137.025701
0.828647,1000,162.608045
2.235758,1000,188.630871
2.856742,1000,215.545277
0.176938,1000,241.088031
5.80868,1000,268.610332
10.695646,1000,295.925775
3.858158,1000,321.781618
1.019495,1000,348.24915
17.873404,1000,374.111504
29.410906,1000,401.004469
3.909487,1000,428.31143
16.5636,1000,455.401158
3.220832,1000,482.357139
3.88149,1000,507.933337
9.56131,1000,534.911443
12.051164,1000,562.423827
26.169877,1000,588.640706
2.626032,1000,615.311572
53.497946,1000,641.322184
14.334455,1000,667.101523
4.847891,1000,692.287965
6.467602,1000,718.782929
6.418871,1000,744.628561
1.183442,1000,770.475262
3.111515,1000,796.144601
0.129173,1000,821.638872
1.209387,1000,847.305842
0.150538,1000,873.26229
0.334843,1000,899.737753
7.581211,1000,925.364656
7.429605,1000,951.487725
